year,Japan,Netherlands,USA,Singapore,Rep. of Korea
2008,0.2588511879769765,0.1838021785843017,0.27805962757127933,0.0027846533294133575,0.04622162323445609
2009,0.2430094368163186,0.17662499739489418,0.18229659090534037,0.009940436166937908,0.055472536775447334
2010,0.1893086206031524,0.0924382600303074,0.2825178459134649,0.01116703267762453,0.06370378647568699
2011,0.13833276772637842,0.1426405692220013,0.20107251214744387,0.03670670594971405,0.043516933244911814
2012,0.27776469176095353,0.11272312659223421,0.2215252566619709,0.07813176979920992,0.06143727846784533
2013,0.2584104706277384,0.13750506468182072,0.22784780344174724,0.07538297018298862,0.15362682085610088
2014,0.21618260174197518,0.1522851640210348,0.3220876640942056,0.06537043548859181,0.13856200394615537
2015,0.20095372075452922,0.14189553795220194,0.3375120600816869,0.07685458812448091,0.1453034364314446
2016,0.230837055731937,0.15084605517265903,0.3246219934340684,0.09928732597782872,0.06182026185848721
2017,0.23849171136932668,0.14558749568555837,0.27924348183122766,0.0811974321858226,0.03999727181394925
2018,0.25841051718975955,0.21564343346800027,0.26479162813108215,0.09692082785411626,0.04186889635219389
2019,0.28110246161016555,0.14391795659506446,0.23858161025660704,0.08583269824899427,0.11860562967973345
2020,0.29090880746715064,0.18487662560585735,0.21206714270596028,0.10829874087168191,0.09203537142772532
2021,0.31689902318484214,0.14262504443745896,0.19978511581984587,0.11891818087867745,0.10268344479782501
2022,0.31821445743181226,0.13587187337056067,0.17720967836551726,0.13701819876254517,0.0782102987612782
2023,0.2821153025909771,0.26691541914215905,0.11655803024037548,0.16125758852408248,0.04209995981115383
2024,0.29554565082474216,0.28901263478886025,0.09878745605171692,0.1512658125323213,0.04601717969264859
