product,term,coef,se,p,effect_pct
848620,US_Post2018,-0.1984,0.1525,0.1932,-18.0
848620,US_Post2022,-0.3203,0.0916,0.0005,-27.4
848620,US_Post2023,-0.5794,0.1759,0.001,-44.0
854231,US_Post2018,0.5926,0.216,0.0061,80.9
854231,US_Post2022,-0.3804,0.1238,0.0021,-31.6
854231,US_Post2023,-0.198,0.0491,0.0001,-18.0
854232,US_Post2018,-1.969,0.2519,0.0,-86.0
854232,US_Post2022,-0.0691,0.0847,0.4147,-6.7
854232,US_Post2023,-0.2556,0.1714,0.1359,-22.6
854239,US_Post2018,-0.1532,0.2892,0.5964,-14.2
854239,US_Post2022,-0.127,0.0817,0.1203,-11.9
854239,US_Post2023,0.1987,0.0609,0.0011,22.0
