model,sample,dependent_variable,term,coef,std_error,p_value,ci_low,ci_high,nobs,r_squared,approx_pct_effect
product_848620_stage_ln,HS848620,ln_import_value,US_Post2018,0.190535,0.198699,0.337603,-0.198908,0.579977,1020,0.886976,0.209896
product_848620_stage_ln,HS848620,ln_import_value,US_Post2022,0.421403,0.211393,0.046212,0.007079,0.835727,1020,0.886976,0.524098
product_848620_stage_ln,HS848620,ln_import_value,US_Post2023,-0.185273,0.238875,0.437981,-0.653461,0.282914,1020,0.886976,-0.169123
product_854231_stage_ln,HS854231,ln_import_value,US_Post2018,0.826955,0.081984,0.0,0.66627,0.987641,3366,0.933733,1.286347
product_854231_stage_ln,HS854231,ln_import_value,US_Post2022,-0.248516,0.086296,0.003979,-0.417652,-0.079379,3366,0.933733,-0.220042
product_854231_stage_ln,HS854231,ln_import_value,US_Post2023,-0.204016,0.084346,0.015572,-0.369331,-0.0387,3366,0.933733,-0.18455
product_854232_stage_ln,HS854232,ln_import_value,US_Post2018,-0.978136,0.083343,0.0,-1.141484,-0.814788,2737,0.924291,-0.623989
product_854232_stage_ln,HS854232,ln_import_value,US_Post2022,0.016436,0.083853,0.844602,-0.147912,0.180784,2737,0.924291,0.016572
product_854232_stage_ln,HS854232,ln_import_value,US_Post2023,-0.553857,0.072154,0.0,-0.695276,-0.412438,2737,0.924291,-0.425271
product_854239_stage_ln,HS854239,ln_import_value,US_Post2018,0.128576,0.06878,0.061571,-0.006231,0.263382,3485,0.939018,0.137207
product_854239_stage_ln,HS854239,ln_import_value,US_Post2022,0.209901,0.079903,0.008615,0.053295,0.366508,3485,0.939018,0.233556
product_854239_stage_ln,HS854239,ln_import_value,US_Post2023,0.220253,0.08234,0.007475,0.05887,0.381637,3485,0.939018,0.246393
