year,product_code,positive_trade_rows,yearly_total_import_kusd
2008,848620,28,2330789.952
2008,854231,97,62541811.399000004
2008,854232,67,19401517.847
2008,854239,93,30169919.842
2009,848620,29,1718548.232
2009,854231,103,44479919.25500001
2009,854232,68,16582602.413999999
2009,854239,111,18973825.360999998
2010,848620,29,4230023.1729999995
2010,854231,104,56106739.205
2010,854232,73,22379711.019999996
2010,854239,116,24743540.786
2011,848620,31,6334163.036
2011,854231,101,64156796.901
2011,854232,74,21173643.612
2011,854239,118,25349700.17
2012,848620,31,2468393.926
2012,854231,101,70045618.281
2012,854232,78,20456211.689999998
2012,854239,115,25063848.709999997
2013,848620,30,2997606.8659999995
2013,854231,112,55249985.49100001
2013,854232,81,24742379.062999997
2013,854239,125,32501909.283000004
2014,848620,35,4141476.066
2014,854231,114,50724860.377000004
2014,854232,76,38844725.219
2014,854239,125,35333248.472
2015,848620,35,4499493.777000001
2015,854231,118,54011634.451000005
2015,854232,72,42341791.260000005
2015,854239,112,31998719.591000006
2016,848620,34,5252597.517999999
2016,854231,110,49188111.099
2016,854232,71,34597450.139000006
2016,854239,130,33340445.033000004
2017,848620,37,6602496.921
2017,854231,118,52909585.95199999
2017,854232,81,63158255.83800001
2017,854239,128,34969597.621
2018,848620,45,11170503.327
2018,854231,110,57812835.488000005
2018,854232,75,68268913.33700001
2018,854239,121,33403908.560999997
2019,848620,41,10545700.397
2019,854231,105,68906771.817
2019,854232,74,51239005.974
2019,854239,118,32843112.325000003
2020,848620,41,13911202.336000001
2020,854231,104,76948332.70699999
2020,854232,68,53397579.580000006
2020,854239,117,42603803.56100002
2021,848620,36,21386953.645
2021,854231,111,88029987.279
2021,854232,76,64638214.558
2021,854239,129,61171813.935
2022,848620,34,18350460.652
2022,854231,91,84956020.43300001
2022,854232,76,60560139.214999996
2022,854239,117,65289877.60900001
2023,848620,36,26567329.042999998
2023,854231,100,65809145.54500001
2023,854232,75,53089794.207
2023,854239,110,55231807.45900001
2024,848620,33,33096810.847000003
2024,854231,90,79773602.232
2024,854232,66,61103282.456999995
2024,854239,109,58188708.025
