exporter_code,exporter_iso3,gdelt_country_code,year,gdelt_event_count,gdelt_avg_goldstein,gdelt_negative_goldstein_sum,gdelt_mentions,gdelt_avg_tone,gdelt_pressure_score,gdelt_filter_mode
32,ARG,ARG,2008,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2009,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2010,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2011,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2012,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2013,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2014,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2015,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2016,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2017,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2018,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2019,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2020,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2021,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2022,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2023,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
32,ARG,ARG,2024,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2008,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2009,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2010,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2011,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2012,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2013,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2014,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2015,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2016,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2017,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2018,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2019,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2020,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2021,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2022,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2023,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
36,AUS,AUS,2024,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2008,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2009,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2010,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2011,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2012,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2013,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2014,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2015,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2016,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2017,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2018,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2019,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2020,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2021,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2022,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2023,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
40,AUT,AUT,2024,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2008,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2009,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2010,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2011,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2012,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2013,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2014,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2015,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2016,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2017,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2018,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2019,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2020,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2021,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
56,BEL,BEL,2022,0,0.0,0.0,0,0.0,0.0,disabled_gdelt
