year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,product_group,exporter_name,exporter_iso3,importer_name,importer_iso3
2008,36,156,848610,45.399,0.001,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Australia,AUS,China,CHN
2008,40,156,848610,3672.085,22.198,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2008,208,156,848610,3117.452,34.02,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2008,246,156,848610,2051.199,36.2,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Finland,FIN,China,CHN
2008,251,156,848610,570.0,6.22,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2008,276,156,848610,58701.771,385.41,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
2008,344,156,848610,1320.083,14.762,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"China, Hong Kong SAR",HKG,China,CHN
2008,376,156,848610,2267.739,24.747,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Israel,ISR,China,CHN
2008,380,156,848610,7786.75,84.975,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Italy,ITA,China,CHN
2008,392,156,848610,312183.445,4527.044,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Japan,JPN,China,CHN
2008,410,156,848610,16419.495,220.524,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Rep. of Korea,KOR,China,CHN
2008,458,156,848610,113.2,1.235,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Malaysia,MYS,China,CHN
2008,484,156,848610,45.937,0.41,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Mexico,MEX,China,CHN
2008,490,156,848610,4130.287,45.073,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"Other Asia, nes",S19,China,CHN
2008,528,156,848610,754.52,6.808,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Netherlands,NLD,China,CHN
2008,643,156,848610,47.5,0.518,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Russian Federation,RUS,China,CHN
2008,702,156,848610,890.028,13.275,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Singapore,SGP,China,CHN
2008,752,156,848610,808.236,5.153,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Sweden,SWE,China,CHN
2008,757,156,848610,143548.546,1432.582,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Switzerland,CHE,China,CHN
2008,764,156,848610,150.751,1.344,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Thailand,THA,China,CHN
2008,826,156,848610,1955.983,13.851,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,United Kingdom,GBR,China,CHN
