model,split,sample_scope,mae,rmse,spearman_rank_corr,n_samples,n_products,uses_gdelt
naive,test,all_model_products,3.356161447329063,3.9825167247778337,0.8333333333333335,8,4,False
naive,test,core4_model_products,3.356161447329063,3.9825167247778337,0.8333333333333335,8,4,False
naive,train,all_model_products,7.04331355999926,9.308852406639845,0.6334129396439427,48,4,False
naive,train,core4_model_products,7.04331355999926,9.308852406639845,0.6334129396439427,48,4,False
naive,validation,all_model_products,2.299417448930451,2.799793482279333,0.9047619047619048,8,4,False
naive,validation,core4_model_products,2.299417448930451,2.799793482279333,0.9047619047619048,8,4,False
ridge,test,all_model_products,4.327626299352944,5.583694351915578,0.8333333333333335,8,4,False
ridge,test,core4_model_products,4.327626299352944,5.583694351915578,0.8333333333333335,8,4,False
ridge,train,all_model_products,5.006197712051647,6.731414417288686,0.7884281372123317,48,4,False
ridge,train,core4_model_products,5.006197712051647,6.731414417288686,0.7884281372123317,48,4,False
ridge,validation,all_model_products,4.268944873897563,4.939808522146701,0.880952380952381,8,4,False
ridge,validation,core4_model_products,4.268944873897563,4.939808522146701,0.880952380952381,8,4,False
